Team,GP,W,L,T▲,OTL,G,PPG,SHG,SOG,PIM,GA,PP GA,SH GA,SOGA,OppPIM,PPO,PKO,Diff
VEG,40,26,12,0,2,131,28,7,1313,270,112,23,1,1201,306,112,105,19
STL,40,19,18,0,3,126,27,4,1165,279,147,28,5,1289,293,112,99,-21
PIT,40,21,13,0,6,132,30,4,1291,302,121,20,3,1330,341,141,129,11
DET,40,18,15,0,7,124,30,2,1168,304,133,30,6,1254,357,146,123,-9
NYR,40,22,12,0,6,130,31,5,1301,317,107,22,3,1157,373,129,116,23
SJS,40,12,20,0,8,123,24,1,1191,318,147,18,4,1210,346,113,117,-24
TOR,40,24,9,0,7,135,32,4,1263,320,105,27,2,1132,343,130,122,30
BUF,40,20,18,0,2,153,41,4,1292,321,139,35,2,1319,360,148,129,14
WSH,40,21,13,0,6,131,28,4,1263,324,111,22,3,1222,372,129,115,20
CAR,40,25,8,0,7,124,28,3,1434,324,107,29,5,1046,324,142,141,17
EDM,40,21,17,0,2,142,46,5,1287,325,133,38,3,1286,352,144,143,9
LAK,40,21,13,0,6,128,33,1,1298,333,137,40,6,1161,351,142,141,-9
WPG,40,26,13,0,1,132,29,4,1185,341,103,19,2,1254,333,123,111,29
CBJ,40,12,26,0,2,102,17,5,1158,348,157,33,4,1415,288,107,132,-55
COL,40,20,17,0,3,115,32,4,1331,349,116,33,2,1281,387,140,132,-1
NJD,40,25,12,0,3,136,26,4,1395,350,105,23,3,1092,378,126,126,31
SEA,40,24,12,0,4,147,26,2,1191,357,124,39,3,1117,347,118,128,23
NYI,40,22,16,0,2,128,22,3,1236,376,108,23,4,1265,361,119,121,20
CHI,40,11,25,0,4,89,24,4,1066,384,144,33,6,1343,365,125,125,-55
DAL,40,23,11,0,6,139,34,5,1289,387,107,23,2,1249,381,125,133,32
CGY,40,19,14,0,7,122,24,5,1380,387,116,27,2,1113,349,129,148,6
VAN,40,17,20,0,3,136,33,2,1198,396,157,38,9,1295,426,138,118,-21
BOS,40,32,4,0,4,154,40,3,1381,400,85,20,3,1174,380,142,141,69
OTT,40,18,19,0,3,119,41,4,1325,404,127,24,3,1285,425,151,140,-8
NSH,40,19,15,0,6,110,23,2,1230,422,116,28,3,1369,395,135,141,-6
TBL,40,26,13,0,1,143,41,2,1291,426,118,25,8,1233,458,142,131,25
PHI,40,15,18,0,7,110,19,7,1177,428,132,30,4,1274,396,118,122,-22
ARI,40,13,22,0,5,109,25,3,1002,434,147,40,2,1374,384,127,153,-38
ANA,40,12,24,0,4,92,18,1,1158,476,160,41,4,1535,406,116,145,-68
FLA,40,18,18,0,4,131,30,1,1436,485,135,38,4,1271,445,144,154,-4
MTL,40,16,21,0,3,105,19,1,1121,495,152,38,1,1333,374,126,144,-47
MIN,40,22,14,0,4,126,30,6,1256,499,114,29,1,1203,491,127,137,12
